"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness","duration_ms"
"2757","Will You Still Love Me? - Remastered Version","Chicago",1987,"3dn6qXlHYAQpOqMTWxkGOR",0.493,0.573,77.126,-7.93,0.0282,0.0896,0,0.0413,252600
"2758","Little Lies","Fleetwood Mac",1987,"5uw9UIOXj6R8pOwXte8F5h",0.63,0.688,124.825,-9.816,0.0266,0.124,4.78e-05,0.158,218040
"2759","Luka","Suzanne Vega",1987,"6OtKL4zUA9WazCB7P03d6N",0.55,0.226,93.076,-10.429,0.038,0.866,1.67e-06,0.112,192973
"2760","I Heard A Rumour","Bananarama",1987,"0tW6lCSXIZgo0xCVLwCbjE",0.693,0.942,123.425,-5.202,0.0308,0.082,5.36e-05,0.0477,205906
"2761","Don't Mean Nothing","Richard Marx",1987,"4ujVRZd9HdjepbpWSddABF",0.673,0.765,98.241,-10.615,0.0256,0.0439,3.43e-05,0.107,281533
"2762","Songbird","Kenny G",1987,"5FFRm8vumNUnq5AGdoMasg",0.471,0.464,135.488,-9.25,0.0301,0.0583,0.865,0.12,302773
"2763","Carrie","Europe",1987,"29wJiSQcze8HEmxkUQykyp",0.457,0.487,136.596,-7.112,0.0266,0.113,2.37e-06,0.358,272133
"2764","Don't Disturb This Groove","The System",1987,"2vZdRP2nJUMtJvfsDkrg9m",0.418,0.83,79.229,-10.243,0.0464,0.372,4.96e-06,0.0881,320107
"2765","La Isla Bonita","Madonna",1987,"2Iib2MV3ECFJAourgP9dlY",0.708,0.832,99.953,-4.736,0.0362,0.392,1.33e-06,0.0561,242947
"2766","Bad","Michael Jackson",1987,"5dQ51PaLQPl1vkL4wFBYON",0.805,0.851,114.13,-5.47,0.0468,0.00798,0.177,0.0511,247693
"2767","Sign 'O' The Times - Single Version","Prince",1987,"5lHWWhuRtSBKfH2xS6YAUD",0.825,0.393,98.94,-10.875,0.0771,0.039,0.000908,0.0609,223507
"2768","Change of Heart","Cyndi Lauper",1987,"4Kvz5bhHNYPSaGnQ7PsTBi",0.686,0.718,119.759,-11.439,0.0666,0.317,2.7e-05,0.0627,263227
"2769","Come Go with Me","Exposé",1987,"5CMfppUYFwdvH8pZ5HRJbS",0.596,0.732,120.116,-9.356,0.0366,0.00592,0.0214,0.0568,258333
"2770","Can't We Try - Single Version","Dan Hill",1987,"0x1RspO36DgmXbZ9XmxvsN",0.561,0.319,120.106,-13.418,0.0313,0.466,0,0.0684,239667
"2771","To Be A Lover - 2001 Digital Remaster","Billy Idol",1987,"66c7uXiQLsw3LpuhGlGNAi",0.563,0.822,184.426,-6.275,0.0485,0.18,0.00326,0.0852,233507
"2772","Mandolin Rain","Bruce Hornsby",1987,"3T8Ye4NB0MQhcEcxzMdAuH",0.563,0.42,139.373,-12.566,0.0311,0.818,2.24e-05,0.122,318947
"2773","Breakout","Swing Out Sister",1987,"6O5G3YcWmKqaLLMlCl0Xjj",0.657,0.725,113.172,-7.84,0.029,0.136,0.0102,0.0465,228000
"2774","Stand By Me - Single/LP Version","Ben E. King",1987,"2lzbKVKSUVeb01ytbHA8PS",0.668,0.271,119.08,-10.321,0.0379,0.5,2.53e-06,0.233,174800
"2775","Tonight, Tonight, Tonight","Genesis",1987,"5Djof0IgvGDl5RN0TZnNgT",0.599,0.741,98.063,-7.015,0.031,0.0497,0.00143,0.162,268307
"2776","Someday","Glass Tiger",1987,"5WK0KIZmq3H0FpQ6O4Wkrz",0.636,0.627,100.187,-11.175,0.0282,0.212,0,0.0861,217693
"2777","When Smokey Sings","ABC",1987,"5O1gjRyWVqZAECJOSDYUGJ",0.706,0.827,126.336,-6.616,0.0297,0.131,0.00607,0.367,260600
"2778","Casanova","Levert",1987,"1O7hDH3rrF8eyLxrpeoOfb",0.71,0.845,92.957,-3.927,0.0888,0.0445,1.18e-05,0.0672,262373
"2779","Rhythm Is Gonna Get You","Gloria Estefan And Miami Sound Machine",1987,"6302KY4zq4Bpx823hyk4Kk",0.781,0.855,124.984,-8.616,0.0365,0.197,0.0429,0.18,235427
"2780","Rock Steady","The Whispers",1987,"4xGyNXNjL8tHkLJEqf2BRs",0.689,0.798,123.989,-10.279,0.0995,0.258,6.94e-06,0.687,478473
"2781","Wanted Dead Or Alive","Bon Jovi",1987,"4Zj9VM4fO1KwkU3lFaECsW",0.257,0.819,150.354,-3.562,0.0422,0.085,0.015,0.324,308560
"2782","Big Time","Hardage",1987,"3W5EcI4psPUHg6Wthw9JdX",0.788,0.726,124.976,-11.662,0.0381,0.0883,0.346,0.0843,429867
"2783","The Finer Things","Steve Winwood",1987,"0qrOEuhMXqAyMMyfOCZ2yC",0.78,0.692,124.678,-7.031,0.0325,0.186,0.0175,0.094,251200
"2784","Let Me Be The One","Exposé",1987,"3t14IyH0Pwz1E7oMJZD1u5",0.659,0.754,105.409,-9.082,0.0396,0.028,0.00898,0.289,261227
"2785","Is This Love","Survivor",1987,"7fgiQqfZFQ9e65Kbe5yNBX",0.686,0.736,118.258,-9.987,0.0305,0.514,0,0.0461,222813
"2786","Point of No Return - 7"" Version","Exposé",1987,"4xu6en3eu5gt7fVlMZanzv",0.595,0.838,120.033,-8.426,0.0411,0.00296,0.0022,0.0976,207960
"2787","Big Love","Fleetwood Mac",1987,"4npQqHOi5Zxxyw1oarSivu",0.639,0.757,125.209,-12.351,0.0496,0.00559,0.0509,0.134,218840
"2788","Something So Strong","Crowded House",1987,"5PZTuGuAEb9tavQklihOaR",0.578,0.673,119.786,-13.156,0.0446,0.0968,8.33e-05,0.0927,171573
"2789","Heat Of The Night","Bryan Adams",1987,"2xEhTQcmrRNaxfUOvSAgXo",0.483,0.858,173.882,-11.817,0.0293,0.269,0.000937,0.359,307000
"2790","Nothing's Gonna Change My Love for You","Glenn Medeiros",1987,"2EnZ9bpgUtLgKkRFehp8xS",0.445,0.378,142.061,-15.257,0.0381,0.627,0,0.0758,232067
"2791","Brilliant Disguise","Bruce Springsteen",1987,"59UszzoXS3a8USLFef9rPe",0.703,0.726,126.353,-12.438,0.029,0.152,1.45e-06,0.0319,254840
"2792","Just To See Her","Smokey Robinson",1987,"325dZlvVCg3ckKt4oZR9ud",0.825,0.551,109.15,-9.551,0.0327,0.145,0,0.038,245160
"2793","Who Will You Run To","Heart",1987,"2G7ttyDosjWmunOYsNRm0C",0.601,0.73,116.313,-11.103,0.0361,0.203,2e-05,0.107,246400
"2794","Respect Yourself","Bruce Willis",1987,"5GIyNhDmHO5oUI2CWyKQ2e",0.726,0.71,118.858,-7.048,0.0338,0.0745,2.77e-05,0.321,231560
"2795","Cross My Broken Heart","The Jets",1987,"79FDwDeZ43rAN02oX8MynI",0.858,0.679,117.683,-7.246,0.0392,0.15,1.33e-06,0.0381,247880
"2796","Victory","Kool & The Gang",1987,"6OAdWLeCbIyQLpSjma2UjL",0.667,0.786,123.42,-10.097,0.0642,0.176,9.43e-05,0.346,300133
"2797","Don't Get Me Wrong - 2007 Remastered Version","Pretenders",1987,"6Wiamk8BAAP50gAAJopsy2",0.46,0.932,203.617,-6.264,0.0468,0.139,0.00504,0.114,227463
"2798","Doing It All For My Baby - 2006 Digital Remaster","Huey Lewis & The News",1987,"2GdWNthCTVMBnuw59WyIci",0.638,0.785,137.444,-6.143,0.0297,0.206,0,0.105,219507
"2799","Right On Track","Breakfast Club",1987,"3UiuKZWtgXjeAfnfGqIeu0",0.781,0.816,116.984,-10.044,0.0336,0.061,5.21e-05,0.0255,256947
"2800","Ballerina Girl","Lionel Richie",1987,"2fNx5nTZGjniOMT5FMcTyE",0.621,0.304,100.603,-13.205,0.027,0.795,0,0.0736,217827
"2801","Meet Me Half Way","Kenny Loggins",1987,"5CdX4HXMRxyldTVxXDrzSA",0.635,0.395,117.096,-13.005,0.0266,0.0929,0,0.27,219533
"2802","I've Been In Love Before - Single Version","Cutting Crew",1987,"0rPImSYezi40zBhwvIvTrr",0.52,0.568,145.86,-13.02,0.0264,0.0669,0.0109,0.695,242800
"2803","Fight For Your Right","Beastie Boys",1987,"5NLuC70kZQv8q34QyQa1DP",0.673,0.72,133.62,-10.411,0.0376,0.129,0.0133,0.0813,207400
"2804","Funky Town","Pseudo Echo",1987,"6UfLQNkw9a9tOVVqsev9vA",0.645,0.775,128.015,-5.077,0.0327,0.0534,9.84e-05,0.336,291213
"2805","Love You Down","Ready For The World",1987,"6JYPFIVXYL3MkKfEfRSovu",0.696,0.481,129.423,-6.898,0.0433,0.136,0.00166,0.0709,391210
"2806","That's What Friends Are For","Dionne Warwick",1986,"1cOj24fUMnBSXhtp7waHVW",0.673,0.286,120.117,-14.643,0.0313,0.294,0,0.086,256467
"2807","Say You, Say Me","Lionel Richie",1986,"36W7sqM1qkSJArXhlVMWAi",0.62,0.493,128.18,-7.914,0.027,0.41,0,0.0588,241693
"2808","I Miss You","Klymaxx",1986,"0NFXlV3K5lZzGTPnWhalXH",0.706,0.338,139.418,-11.237,0.0314,0.101,0.000369,0.222,337381
"2809","On My Own","Patti LaBelle",1986,"5lQyKTM5MZsrObdRbIjJv4",0.614,0.473,92.114,-10.902,0.0261,0.223,0.000161,0.16,291627
"2810","Broken Wings","Mr. Mister",1986,"63nVsCAdxu9OdeRhe58wiE",0.286,0.473,99.233,-15.646,0.0388,0.115,4.23e-05,0.071,345840
"2811","How Will I Know","Whitney Houston",1986,"5tdKaKLnC4SgtDZ6RlWeal",0.832,0.544,119.49,-12.697,0.0442,0.201,0.000139,0.632,275533
"2812","Party All the Time","Eddie Murphy",1986,"6N5DRCQUSXT1qQqmqsO92B",0.699,0.696,135.027,-13.045,0.0458,0.0098,0.000345,0.0427,253293
"2813","Burning Heart","Survivor",1986,"2avaSeKHI5l4sLruVfLdi2",0.651,0.665,97.996,-7.43,0.0269,0.221,7.91e-06,0.0403,230720
"2814","Kyrie","Mr. Mister",1986,"5BXj1QDRU77J1ngVavG1tI",0.489,0.676,89.735,-8.769,0.0367,0.287,0,0.389,256960
"2815","Addicted To Love - Edit","Robert Palmer",1986,"5qUliRaqliPfqrG3oQrp72",0.658,0.735,111.46,-8.387,0.0337,0.413,1.2e-06,0.0329,244133
"2816","Greatest Love of All","Whitney Houston",1986,"6yJxCltgtmGxIgKOS6ndnu",0.502,0.305,131.242,-16.011,0.0339,0.484,3.55e-06,0.117,291400
"2817","Secret Lovers","Atlantic Starr",1986,"4xwllvf4zL43zIj8K7H6zd",0.616,0.361,80.041,-16.097,0.0388,0.585,0,0.24,330093
"2818","Friends And Lovers","Carl Anderson",1986,"19u5G7pWq3Nj6lQiP4W4Hp",0.39,0.313,80.521,-9.928,0.0312,0.766,0,0.138,226560
"2819","Glory Of Love","Peter Cetera",1986,"1eyq8cjUQ2daFthW2PC2GM",0.518,0.585,144.998,-8.485,0.0279,0.0778,2.43e-06,0.31,258120
"2820","West End Girls - 2001 Remastered Version","Pet Shop Boys",1986,"3aQ06wb25CWisjA91kqgB4",0.648,0.947,113.255,-6.617,0.0369,0.0114,0.0567,0.105,245360
"2821","There'll Be Sad Songs (To Make You Cry)","Billy Ocean",1986,"0C8lgaKDpwGiPmUU9unT33",0.564,0.302,79.838,-14.393,0.0298,0.723,0,0.264,291493
"2822","Alive And Kicking - 2002 Digital Remaster","Simple Minds",1986,"2phcupbmqItBvC3OnsHQLF",0.588,0.879,103.208,-5.972,0.0356,0.0942,0.000104,0.2,326120
"2823","Never","Heart",1986,"4Jg1nU6FYvCWkqFw8Kr4bO",0.612,0.593,96.27,-12.187,0.0286,0.467,0,0.312,246400
"2824","Kiss","Prince",1986,"28S2K2KIvnZ9H6AyhRtenm",0.898,0.271,111.485,-12.238,0.091,0.0135,0.00138,0.0461,226240
"2825","Higher Love - Full Album Version","Steve Winwood",1986,"1vhNjOtmfgoGy4J6ijCUSS",0.702,0.779,98.7,-12.267,0.0412,0.0561,0.0905,0.303,351507
"2826","Stuck With You","Huey Lewis & The News",1986,"2cFl7utlqyZjCXN1G5nRvA",0.704,0.544,120.717,-11.402,0.026,0.0873,1.66e-05,0.041,269573
"2827","Holding Back The Years","Simply Red",1986,"5q04ftJMH7VjaKEbNUz18u",0.696,0.514,87.159,-7.899,0.0252,0.654,4.31e-06,0.318,251587
"2828","Sledgehammer - (Tribute to Peter Gabriel)","Studio Allstars",1986,"7kzsIuCQDvDc56oC4aVjnE",0.815,0.507,96.257,-7.196,0.0346,0.0744,1.78e-06,0.0787,317115
"2829","Sara","Starship",1986,"6V775dYuMO5BKjo9C3nhqL",0.63,0.611,103.043,-10.298,0.0348,0.229,3.97e-06,0.105,285942
"2830","Human","The Human League",1986,"537yo062QIz16oQOgxmul3",0.625,0.572,101.355,-9.095,0.0251,0.049,0.00151,0.0939,265320
"2831","I Can't Wait","Nu Shooz",1986,"044fQJmT2fZUYcA3BnaOL2",0.774,0.787,103.69,-6.109,0.0555,0.227,0.00234,0.124,220386
"2832","Take My Breath Away","Berlin",1986,"1hZJcuz9iMoz6tLkFlIaUy",0.578,0.477,95.892,-8.119,0.0228,0.448,0.00031,0.124,264213
"2833","Rock Me Amadeus","Falco",1986,"1Hs3XZxhdpHrOyiZBB4kEK",0.62,0.778,176.667,-11.061,0.121,0.409,0.00258,0.0903,203173
"2834","Papa Don't Preach","Madonna",1986,"0Oa9Qtd0FuhcmLi3sWTF9F",0.796,0.908,121.976,-3.523,0.0326,0.553,0,0.04,269573
"2835","You Give Love A Bad Name","Bon Jovi",1986,"1MTMedlCphum6mRcd8YzvE",0.533,0.963,122.812,-2.528,0.0562,0.0353,1.33e-06,0.368,223147
"2836","When the Going Gets Tough, the Tough Get Going","Billy Ocean",1986,"6QyYTRZCrzjAUqchxGC91x",0.769,0.618,121.98,-10.472,0.0492,0.515,1.66e-06,0.29,248867
"2837","When I Think Of You","Janet Jackson",1986,"2oeha2Y6cQIw1LyhUWSjjq",0.744,0.82,116.163,-6.039,0.04,0.0286,0.0215,0.086,235453
"2838","These Dreams","Heart",1986,"5fRTUCS48zwiGai2Ku8gSg",0.538,0.379,79.034,-14.122,0.0315,0.518,7.11e-06,0.108,254960
"2839","Don't Forget Me (When I'm Gone)","Glass Tiger",1986,"3j6oEEPaUMzzw5i7gFIGDb",0.591,0.659,109.823,-10.004,0.0277,0.113,0.00037,0.344,245920
"2840","Live To Tell","Madonna",1986,"0OjKjWYMF8nrcHX8kj8D45",0.64,0.535,110.053,-6.556,0.0264,0.259,0.000306,0.132,351067
"2841","Mad About You","Belinda Carlisle",1986,"6v9oV4RpWKJ5qbpAZqKqtZ",0.555,0.543,71.909,-13.491,0.0373,0.005,0.000144,0.0606,216827
"2842","Something About You - Single Version","Level 42",1986,"2uXewDKMktNkkMfotqSxN6",0.7,0.587,105.324,-13.484,0.0282,0.0384,0.0225,0.0719,223440
"2843","Venus","Bananarama",1986,"4kxOMXF9aVjztdBVM12gbn",0.699,0.953,125.634,-4.742,0.0453,0.144,0.684,0.17,217547
"2844","Dancing On The Ceiling","Lionel Richie",1986,"0snPJPxkk0MbTc0xeUvAPt",0.714,0.779,133.2,-8.584,0.0519,0.132,2.24e-06,0.386,270720
"2845","Conga","Miami Sound Machine",1986,"3FdHgoJbH3DXNtGLh56pFu",0.789,0.655,122.236,-14.825,0.0474,0.167,0.0409,0.0311,254000
"2846","True Colors","Cyndi Lauper",1986,"2A6yzRGMgSQCUapR2ptm6A",0.386,0.145,171.63,-16.94,0.0362,0.792,0.000196,0.1,226067
"2847","Danger Zone","Kenny Loggins",1986,"1GYYqJlTVKrz6NUMbokAYm",0.554,0.877,157.087,-7.655,0.0382,0.192,0,0.132,216133
"2848","What Have You Done For Me Lately","Janet Jackson",1986,"586bkJBqAeLkTy4n1pb8nH",0.823,0.694,114.494,-4.142,0.0509,0.00449,0.0028,0.316,283133
"2849","No One Is To Blame","Howard Jones",1986,"1U2C1dJY7GIyx87KNzfVbK",0.777,0.414,95.088,-9.522,0.0266,0.518,0.000243,0.168,216573
"2850","Let's Go All The Way","Sly Fox",1986,"2qxrA7khrMA6icoq9cn2wY",0.632,0.718,98.279,-9.697,0.0389,0.0212,0.000278,0.321,307653
"2851","I Didn't Mean To Turn You On","Robert Palmer",1986,"7DGIv9rjJSL7Bfls23QMeh",0.696,0.634,120.689,-11.172,0.0498,0.121,0.654,0.297,217467
"2852","Words Get In The Way","Miami Sound Machine",1986,"5xbqrbNPBTAOGDA6GD3O46",0.674,0.31,155.656,-17.352,0.0329,0.293,1.64e-05,0.108,205533
"2853","Manic Monday","The Bangles",1986,"5KYoPa5akZxiCn38xelbqI",0.685,0.571,121.737,-11.623,0.0299,0.335,2.38e-06,0.214,184173
"2854","Walk Of Life","Dire Straits",1986,"5ij84aZDvRN4zSHSh2L6pl",0.461,0.936,172.404,-6.866,0.109,0.435,9.13e-05,0.124,252467
"2855","Amanda","Boston",1986,"4gpext9x0CbdD9NWaa4nDj",0.45,0.415,125.434,-14.028,0.0318,0.322,0,0.104,256200
"2856","Two Of Hearts","Stacey Q",1986,"2dURQIBrw3XcHyVZlfdpC1",0.852,0.523,130.154,-6.716,0.032,0.0833,0,0.106,237533
"2857","Crush On You","The Jets",1986,"2sYLlZU3FuCF8SKNeIvdKA",0.79,0.836,120.326,-10.748,0.0585,0.0255,0.0799,0.0447,272493
"2858","If You Leave","Orchestral Manoeuvres In The Dark",1986,"6VzfdkKU7J6ideJPwVJnAN",0.636,0.757,120.256,-8.686,0.0326,0.0787,0.122,0.146,270307
"2859","Invisible Touch - 2007 Remastered Version","Genesis",1986,"0xpBr84T3FTm9j4D1MdPtk",0.659,0.878,131.037,-5.987,0.0298,0.339,0.000543,0.0731,209587
"2860","The Sweetest Taboo - Remastered","Sade",1986,"1xAkznu4j1yRIkPz16JpNP",0.718,0.913,91.648,-6.777,0.0466,0.191,0.0482,0.347,265187
"2861","What You Need","INXS",1986,"1g4fzocmQFCCW2RsFqWKD0",0.685,0.827,116.085,-6.045,0.0546,0.0238,0.0159,0.328,214000
"2862","Talk To Me","Stevie Nicks",1986,"5IhYnodWHS5IOrw7aOOuA9",0.652,0.648,102.993,-8.147,0.0263,0.123,0.00639,0.201,252027
"2863","Nasty","Janet Jackson",1986,"07OzC5JlcaDwEkzWmvqp6y",0.845,0.883,103.675,-11.7,0.0654,0.455,0.00833,0.13,243133
"2864","Take Me Home Tonight","Eddie Money",1986,"63diy8Bzm0pHMAU37By2Nh",0.622,0.845,132.752,-5.984,0.0324,0.118,0,0.0984,211467
"2865","We Don't Have To Take Our Clothes Off - Original Hit Version","Jermaine Stewart",1986,"7HwFU2mPoiwAGYzL2CB5B3",0.809,0.609,122.585,-11.366,0.0446,0.025,0.000149,0.297,247893
"2866","All Cried Out","Lisa Lisa & Cult Jam",1986,"2Q0HXXMkR28ZZkyX30UmLc",0.46,0.498,144.149,-8.835,0.0277,0.127,0.0295,0.186,284333
"2867","Your Love","The Outfield",1986,"5dRQUolXAVX3BbCiIxmSsf",0.555,0.757,129.607,-7.868,0.0601,0.103,1.16e-06,0.0631,221840
"2868","I'm Your Man","Wham!",1986,"4II1Ec8htD10ZryStD9oAp",0.766,0.805,131.552,-5.29,0.0327,0.0578,0,0.104,246467
"2869","Perfect Way","Scritti Politti",1986,"3WrOAryvCUOVsm8P8O2DoE",0.66,0.836,104.588,-12.324,0.0468,0.0438,0.0991,0.428,273240
"2870","Living in America","James Brown",1986,"4Y5yjzs9FFw5qIgfZBd43I",0.754,0.854,113.908,-7.114,0.0363,0.00148,0.00692,0.0675,282840
"2871","R.O.C.K. In The U.S.A. (A Salute To 60's Rock)","John Mellencamp",1986,"51P9LDBS1grMdF7fYGpBZx",0.455,0.931,164.058,-6.11,0.0628,0.0337,3.48e-06,0.325,175467
"2872","Who's Johnny","DeBarge",1986,"4AzqtxJQWng9XeXBk0ddqU",0.676,0.874,110.372,-4.688,0.074,0.04,0.0108,0.0333,250840
"2873","Word Up","Cameo",1986,"7LoGfKBAaOl0nxhodJ1240",0.885,0.82,116.217,-13.054,0.0642,0.0511,0.00263,0.0458,261000
"2874","Why Can't This Be Love","Van Halen",1986,"0TaT50ZZxT4ytZxuqkE3A9",0.531,0.626,88.236,-13.371,0.0452,0.0606,0,0.0767,227693
"2875","Silent Running - Demonstration Version, Includes Lead Singer","Stingray Music (Karaoke)",1986,"4iiuNJT1eoUTfZ1iQEolq9",0.641,0.444,130.979,-11.194,0.0314,0.0246,0.000197,0.263,369939
"2876","Typical Male","Tina Turner",1986,"69UQxQrEABRXg1xMhvKjGC",0.762,0.745,106.013,-7.772,0.0407,0.0172,0.0137,0.0612,256827
"2877","Small Town","John Mellencamp",1986,"4oE8zFdponjE1mtTi4geXA",0.663,0.904,123.155,-2.656,0.033,0.182,0.00523,0.354,221440
"2878","Tarzan Boy - Original Hit Version","Baltimora",1986,"6GVbeCmR2izqUTcYpvoiX9",0.701,0.654,107.332,-8.16,0.0249,0.265,0.0291,0.23,232667
"2879","Rumors","Timex Social Club",1986,"0Ftl6VoKebN1zeIao9EXlB",0.928,0.633,106.819,-10.743,0.0693,0.0613,0,0.163,250360
"2880","Life In A Northern Town","The Dream Academy",1986,"4m3OS54KWywYhP7WD7z1cg",0.563,0.476,121.67,-13.342,0.0329,0.265,0,0.494,259293
"2881","Bad Boy","Miami Sound Machine",1986,"5AM6VOkN7ficA2O04f5JG1",0.627,0.455,181.498,-16.185,0.0806,0.0475,0.0543,0.0432,235507
"2882","Sleeping Bag","ZZ Top",1986,"1ESuT2y9AKu1zMdxq47qW5",0.62,0.688,112.122,-12.892,0.0435,0.00181,0.00482,0.0464,242333
"2883","Tonight She Comes","The Cars",1986,"2SPzaOhoqkP4yQdWZbKsno",0.655,0.837,141.68,-7.984,0.0264,0.053,0.0137,0.104,236733
"2884","Love Touch - 2008 Remastered Version","Rod Stewart",1986,"3LVRM23d9ltvRoquuZy1Yb",0.496,0.911,179.025,-7.733,0.0471,0.0362,1.75e-05,0.0526,244013
"2885","A Love Bizarre","Sheila E.",1986,"5R6ol4f8WCUCWNrB7Ymf99",0.768,0.612,113.798,-13.381,0.0454,0.0217,0.0239,0.0513,738053
"2886","Throwing It All Away (Platinum Collection Version)","Genesis",1986,"3aBgcUxqadc7PC0yeDCpU9",0.624,0.651,84.034,-4.092,0.0242,0.553,0.00132,0.0846,230093
"2887","Election Day","Arcadia",1986,"0UhZkk4agmJpbMCvT3OgLG",0.716,0.552,110.791,-14.746,0.0353,0.0113,1.42e-05,0.343,328093
"2888","Nikita","Elton John",1986,"6LWW998TfGPyxPVWuO88iR",0.65,0.661,86.595,-8.068,0.0269,0.305,6.75e-05,0.0609,343841
"2889","Take Me Home","Phil Collins",1986,"2o1dXMSuM4p6SsI2RREUL6",0.612,0.557,118.787,-16.531,0.0434,0.412,0.0817,0.0649,353200
"2890","Walk This Way","Run–D.M.C.",1986,"6qUEOWqOzu1rLPUPQ1ECpx",0.759,0.578,105.598,-12.56,0.0468,0.00796,8.18e-05,0.0605,309760
"2891","Sweet Love","Anita Baker",1986,"6b8pYhpXu2pHHvRZW3FBXp",0.352,0.672,175.244,-7.732,0.0276,0.412,0,0.0551,264080
"2892","Your Wildest Dreams","The Moody Blues",1986,"1I5PbTAcWMqV66XR8B2vzK",0.541,0.683,141.373,-12.411,0.0397,0.307,0.0347,0.322,291573
"2893","Object Of My Desire","Starpoint",1986,"63Ql2zSLiBryLRPihaUToK",0.78,0.695,116.122,-10.906,0.0539,0.0412,0.0036,0.0345,306453
"2894","Dreamtime","Daryl Hall",1986,"7kZZ2Hmkg1zfwrQLsmypNE",0.617,0.773,121.675,-10.03,0.0323,0.0333,1.46e-06,0.0994,285093
"2895","Tender Love","Force M.D.'s",1986,"0rEFyT5IzHweiULf6QZXmz",0.34,0.336,142.631,-7.288,0.0289,0.765,0.000114,0.126,234053
"2896","King For A Day","Thompson Twins",1986,"7sRe0zpDlI1e2qSQsesrP7",0.721,0.624,108.769,-12.672,0.0301,0.112,0.000195,0.305,359373
"2897","Love Will Conquer All","Lionel Richie",1986,"6nbi2AJ9hAi2SE8jH6mRKV",0.787,0.446,98.047,-10.001,0.0266,0.177,1.76e-06,0.237,340987
"2898","A Different Corner","George Michael",1986,"0rccl5Uy9vojxmoRgO7hAT",0.316,0.225,70.552,-12.791,0.0295,0.885,0.00116,0.0961,242400
"2899","I'll Be Over You","Toto",1986,"6ItrvGfgojJRtTAKgaOXvw",0.525,0.491,82.213,-8.557,0.0253,0.0221,0,0.251,229733
"2900","Go Home","Stevie Wonder",1986,"6VhcdIKG4xM8sTX9amSO4n",0.767,0.803,119.308,-7.462,0.0362,0.31,7.27e-05,0.051,250013
"2901","Like A Virgin","Madonna",1985,"1iaIEmZHrjGzWUmJ9BaFr6",0.775,0.8,119.725,-3.338,0.036,0.365,0.000216,0.0976,188280
"2902","Wake Me Up Before You Go-Go","Wham!",1985,"5XsMz0YfEaHZE0MTb1aujs",0.618,0.764,81.366,-6.027,0.0562,0.186,0,0.12,230693
"2903","I Want To Know What Love Is (2008 Remastered Version)","Foreigner",1985,"5DeXQ3qADuDmqsosnZAK3o",0.48,0.529,81.527,-7.825,0.0275,0.17,4.27e-06,0.257,295480
"2904","I Feel For You","Chaka Khan",1985,"26vKwxgkbm2jcKyjvmScPK",0.794,0.925,124.884,-3.778,0.0625,0.012,0.319,0.197,218880
"2905","Out of Touch - Remastered","Daryl Hall & John Oates",1985,"7o67roCVsFiCt7Cf0ZLOJq",0.806,0.649,114.834,-9.004,0.0347,0.0391,5.55e-05,0.0557,249573
"2906","Everybody Wants To Rule The World","Tears For Fears",1985,"76798uYU1DhBRVWxSo1bhY",0.687,0.886,112.073,-8.219,0.0485,0.38,0.00646,0.0702,247533
"2907","Money For Nothing","Dire Straits",1985,"4yqtwO7MQIIXqoiRBPHAgR",0.667,0.655,134.212,-9.339,0.0367,0.0491,0.000894,0.0641,506400
"2908","Crazy For You","Madonna",1985,"6B4oVElDIKRNcNUary0WG7",0.662,0.719,95.001,-6.606,0.0298,0.107,0,0.102,224320
"2909","Take On Me","a-ha",1985,"1nbMkRhfldXcmCyB83x8lK",0.42,0.955,169.209,-3.92,0.178,0.00582,0.000511,0.0931,227147
"2910","Everytime You Go Away","Paul Young",1985,"0IpfTMKENGLJcULkMnU8Rb",0.607,0.643,164.256,-11.493,0.0435,0.177,0.000153,0.118,321573
"2911","Easy Lover","Philip Bailey",1985,"6OqvA8eljqHDFTso8szjCe",0.75,0.744,128.91,-11.533,0.0359,0.0611,0.00297,0.0753,305360
"2912","Can't Fight This Feeling","REO Speedwagon",1985,"5WwqdeavrQrbeAMDxGawse",0.408,0.48,156.344,-11.017,0.0266,0.155,1.82e-05,0.0877,294773
"2913","We Built This City","Starship",1985,"0FWRA2sewbJ491kmjRRFw6",0.675,0.803,140.096,-7.248,0.0467,0.182,5.41e-05,0.0797,363933
"2914","The Power Of Love - 2006 Digital Remaster","Huey Lewis & The News",1985,"2olVm1lHicpveMAo4AUDRB",0.768,0.829,118.773,-5.109,0.0313,0.0964,2.92e-05,0.097,234333
"2915","Don't You (Forget About Me)","Simple Minds",1985,"0OzwLNVnzfG43IyQB2RMPH",0.669,0.697,111.1,-10.091,0.0274,0.141,0.0142,0.328,260933
"2916","Cherish - Single Version","Kool & The Gang",1985,"41leurKH9keV9KO7bk83uz",0.642,0.599,95.188,-7.57,0.0223,0.35,0,0.314,239667
"2917","St. Elmos Fire [Man In Motion]","John Parr",1985,"1A2PWRltFrX8iB8IP3CUgo",0.613,0.53,111.19,-14.088,0.0321,0.162,2.07e-06,0.624,247987
"2918","We Are The World","The Hit Crew",1985,"5q1cXPh7A9ir78qeLss5XL",0.481,0.365,72.571,-10.431,0.0406,0.776,2.71e-06,0.218,266680
